Session Number,Scenario Number (within session) ,"Scenario Type                   (REMEMBER: 7 positive, 2 resilience, 1 negative) ",Broad Domain 1,Broad Domain 2,Broad Domain 3,Hoos TC Title ,Staff scenario body,Staff scenario body #2 (negation scenarios only),Staff comprehension question,Staff correct response,Staff incorrect response,Staff photo link,Letters Missing,Occurrence
,10,Positive,Academics/Work/Career Development,,,Reconnecting With People,"You have had a lot of work pile up these past couple of weeks. As a result, you have not been able to spend time with friends or family as much as you would want and have often times felt lonely. Once your workload lessens, you plan on reconnecting with people who mean a lot to you.",N/A,Will you be able to hang out with friends and family when you have more time?,Yes,,https://drive.google.com/file/d/1oRVHiCteKOP5kuq94IS2VDj-UvycRI7V/view?usp=sharing,all,2
8,1,Resilience/Negation,Academics/Work/Career Development,,,A sudden stumble,"It is your first day at a new job, and you report to your manager. As you approach them, you stumble, then recover. They noticed, and their first impression of you is probably that you are very prepared.",N/A,Your manager will probably think that ...,You are ready to take on challenges.,You are a clumsy person.,https://drive.google.com/file/d/1DttLONiIj8xl29lRpUM8ExKkKo4JbVNe/view?usp=sharing,all,3
,2,Positive,Academics/Work/Career Development,,,Future limitations,This morning you hear the news that a lot of companies are currently downsizing. You think about what will happen if you lose your job. You decide that finding another job will be possible.,N/A,"If you lose your job, you will probably ...",Find a new job that you enjoy. ,Be unable to support yourself. ,https://drive.google.com/file/d/1RnImJE-U_C1bMfkgSBjJk7I4RaUqraB1/view?usp=sharing,all,2
,3,Resilience/Negation,Academics/Work/Career Development,Social Situations,,Brief Introduction,"You are at a workshop, and the leader asks all attendees to stand up and introduce themselves. During your brief presentation, you momentarily forget what you planned to say, and the audience stares at you looking annoyed. ","In the end, you realize that everyone has these moments, and you quickly recover. As you finish introducing yourself, you see that the others are listening with keen interest.",Did the other people think you were boring?,No,,https://drive.google.com/file/d/1lgF7Z1c-zfEyeOyad_Bo6EmeBmmYmSe7/view?usp=sharing,all,2
,4,Positive,Academics/Work/Career Development,Social Situations,,Train of thought,"You are giving a presentation at work. During one of your slides, you lose your train of thought and have to take a moment to look over your notes. As you start again, you think that losing one's train of thought while presenting is normal.",N/A,Is it normal to lose your train of thought while presenting?,Yes,,https://drive.google.com/file/d/1PHmQe4AQ2pdApKjmB9uPD73GJXIyik1b/view?usp=sharing,all,3
,5,Positive,Academics/Work/Career Development,Mental Health,,Unfinished Work,"You had a very busy day, and were not able to get all of your tasks done. At dinner, your partner brags about how they finished everything on their to-do list. Thinking about whether you can complete your work tomorrow, you feel confident.",N/A,Will you get everything done?,Yes ,,https://drive.google.com/file/d/1b4FsJv5cKIMQtEO-gCgq-Ezc9XEaINoP/view?usp=sharing,all,2
,6,Positive,Academics/Work/Career Development,,,Class Clowns,During a staff meeting you are called on to share your thoughts. As you start to talk you hear a loud burst of laughter behind you. Your fellow coworkers are laughing at a joke.,N/A,Are your coworkers laughing at you?,No,,https://drive.google.com/file/d/1N-h1oDhAEgaw_56cFBMGZAp4l_MONTJU/view?usp=sharing,all,2
,7,Positive,Academics/Work/Career Development,,,Waiting for Big News,"Today, you will receive an important email. It will tell you whether you received or didn't get a promotion that would really advance your career.  As you think about waiting for the email, you feel excited.",N/A,Are you miserable waiting for the important email?,No,,https://drive.google.com/file/d/1N6vR25DLC0FZk7m0Kj9cqT3vnyjdyQOA/view?usp=sharing,all,3
,8,Positive,Academics/Work/Career Development,,,Making a Choice,"Your partner wants you to take on a specific job. You would rather work in a different place but your partner has made it clear they are not on board with the job choice. When you think about talking with your partner about your choice, you feel prepared.",N/A,Can you handle talking to your partner about your job choice?,Yes,,https://drive.google.com/file/d/1Z0nzrIQHVjl7UmtuA4nngOFyGYVvmBB-/view?usp=sharing,all,3
,9,Negative,Academics/Work/Career Development,Family & Home Life,,Disappointing News,A new office initiative started by you and a few other coworkers was rejected by your boss and you have to tell the news to the others. They don't say anything when you tell them. They are probably feeling disappointed.,,Are your coworkers disappointed that your initiative was rejected?,Yes,,https://drive.google.com/file/d/15VPmA2W3BJTESFcdDiE0Xg8dzS88Klsc/view?usp=sharing,all,3
,10,Positive,Academics/Work/Career Development,Mental Health,,First Impressions,"A new supervisor is hired for the department you are in, and you hear that he is very precise on how things are to be done. You meet him for the first time and talk about the upcoming month. Getting up to leave at the end of your meeting, you think that he found you to be intelligent.",N/A,Does your new supervisor have a good opinion of you?,Yes,,https://drive.google.com/file/d/1HqiTE-Prk9nPEql4rphcp64fbwE9fnxx/view?usp=sharing,all,2
9,1,Positive,Academics/Work/Career Development,,,Certainty of being correct,"You are having an intellectual discussion with your colleague. On one of the questions they ask you, you are 90% certain that you know the correct answer. When you respond, you feel confident.",N/A,Are you uneasy about your answer?,No,,https://drive.google.com/file/d/1nVCrQvzsMF5KCRUZMiYr0rakkwQqslrO/view?usp=sharing,all,3
,2,Positive,Academics/Work/Career Development,Social Situations,,Expressing Your Ideas,"While working on a collaborative group project at work, you tell your ideas to your group. The other members of the group don't react. They must be thinking about the project.",N/A,Do the members of the group think your ideas are bad?,No,,https://drive.google.com/file/d/1LZX5Q9czPuvVzkKhTglyiF6nhzh1mqA1/view?usp=sharing,all,2
,3,Negative,Academics/Work/Career Development,,,Managing Multiple Positions,"You recently decided to join a new neighborhood organization on top of your job. At a meeting for the new group, you brought the wrong notebook and have notes for your job, which aren't useful here. You think managing being in this new group will be difficult.",N/A,Will it be hard to be in this new organization?,Yes,,https://drive.google.com/file/d/1riJmfoH9pMuH_OSdp0f7YQKFJ6FTfNrO/view?usp=sharing,all,2
,4,Resilience/Negation,Academics/Work/Career Development,Mental Health,,Judging Your Performance,"You prepared a lot for an important presentation with your colleagues. Your section of the presentation didn't go as well as you expected. You think about whether you will be able to do better in your next section, and realize this was your last section.","Right now you aren't happy, but you think about your group's overall presentation. You realize that it was good.",Did your presentation go poorly?,No,,https://drive.google.com/file/d/14a4DahQYPIJ3NTQ9Unf1v00amnMGcw0k/view?usp=sharing,all,2
,5,Positive,Academics/Work/Career Development,Social Situations,,Group Project Due,"You are working on a very important team project. The project deadline is soon, and your colleagues still haven't completed their portion, and you wonder if you should complete their part. You reach out to them, conveying your concerns about the deadline and workload, and they begin working in a timely manner.",N/A,Your colleagues are likely...,Grateful that you politely communicated your concerns over their contribution. ,Annoyed that you're telling them what to do. ,https://drive.google.com/file/d/1ZodO1F5ZuiDVjiFxjsv5k2GCuLpQwIRf/view?usp=sharing,all,2
,6,Positive,Academics/Work/Career Development,Social Situations,,Important evaluation,You have almost completed an important project. Part of your evaluation is determined by your coworkers. You know most of them well and feel that their opinions of you will make them evaluate you favorably.,N/A,Your coworkers will probably...,Give you a good score.,Give you a bad score.,https://drive.google.com/file/d/1FcB5CvXNaJdV8qJE0nz1NN6MVKPtk2zJ/view?usp=sharing,all,2
,7,Positive,Academics/Work/Career Development,,,Your Resume,"You are preparing to apply for a new job. You have a meeting with a potential employer tomorrow, and you know that a good resume will be an important factor. As you look over your resume, you think that the interviewer will be favorable.",,Your potential employer will probably think,That your previous experience is a good fit for the job.,That your listed skills are unimpressive.,https://drive.google.com/file/d/12Cgn_OOe7x5Oai-qSUktQ4QZ57TSL-zp/view?usp=sharing,all,3
,8,Positive,Academics/Work/Career Development,Social Situations,,Zoning Out,You are sitting in an online meeting and space out for a minute. Your boss asks you a question and you didn't hear it. You ask her to repeat her question and this makes you feel ok.,,Are you comfortable asking your department head to repeat her question?,Yes,,https://drive.google.com/file/d/1ZxZ_841mwj2NoY_cCWf9GHGmHmnONE6A/view?usp=sharing,all,3
,9,Positive,Academics/Work/Career Development,Family & Home Life,,Supportive Person ,"You want to talk to someone about your plans for the future, but don't want to talk to your family about it. You think about other close people in your life, and decide to talk to your closest friend. When you think about their reaction, you think they will probably be encouraging.",N/A,Do you feel worried about talking to your friends about your plans for the future? ,No,,https://drive.google.com/file/d/1qKLzJvu3ftF-gQS35abj99xkrcgmZQX_/view?usp=sharing,all,3
